Data entropy: {1.1168034283623722}
Data redundancy: {0.7766393143275255}
Ngrams::
о,0.1119677921683315
а,0.0828364161191082
е,0.07911428462911618
и,0.06847962322913898
т,0.06464354893843291
н,0.06327623532986441
с,0.053932925671313
л,0.04705837669489916
в,0.04288047400205097
р,0.042462683732766154
к,0.03687948649777811
м,0.03342322154278552
у,0.031068403661361998
п,0.029207337916365983
д,0.0269664628356565
я,0.023396255079949864
ы,0.01997797105852862
з,0.018648638383531466
ь,0.018382771848532035
г,0.017319305708534315
б,0.01644574423639333
ч,0.014546697557825972
й,0.01200197500854571
ж,0.00983706179497892
ш,0.008165900717839644
х,0.007520224847126743
ю,0.006494739640700368
щ,0.004215883626419537
э,0.003722131489992024
ц,0.003304341220707205
ф,0.0018230848114246649
